name,country_code,country,year,p1,p2,p3,p4,p5,p6,total,abs_rank,rel_rank(%),prize
William Cheah,AUS,Australia,2024,7,7,2,7,1,0,24,100,83.72,Silver medal
Amber Li,AUS,Australia,2024,2,2,0,7,0,0,11,425,30.26,Honourable mention
Xiangyue (Laura) Nan,AUS,Australia,2024,7,7,1,7,7,1,30,29,95.39,Gold medal
Alex Qiu,AUS,Australia,2024,7,1,0,7,0,0,15,327,46.38,Honourable mention
Cloris Xu,AUS,Australia,2024,7,2,0,7,1,0,17,252,58.72,Bronze medal
Iris Xu,AUS,Australia,2024,7,2,0,7,0,0,16,283,53.62,Bronze medal
William Cheah,AUS,Australia,2023,7,7,4,7,3,2,30,71,88.65,Silver medal
Sizhe Pan,AUS,Australia,2023,7,7,0,7,2,0,23,183,70.5,Bronze medal
Zian Shang,AUS,Australia,2023,7,7,7,7,7,0,35,28,95.62,Gold medal
Christopher Tran,AUS,Australia,2023,7,7,1,7,3,2,27,119,80.88,Silver medal
Cloris Xu,AUS,Australia,2023,7,7,1,7,2,0,24,145,76.66,Bronze medal
Iris Xu,AUS,Australia,2023,7,3,0,1,2,0,13,407,34.2,Honourable mention
William Cheah,AUS,Australia,2022,7,7,0,7,7,0,28,146,75.34,Bronze medal
Sizhe Pan,AUS,Australia,2022,7,7,1,7,5,0,27,187,68.37,Bronze medal
Zian Shang,AUS,Australia,2022,7,7,0,7,7,0,28,146,75.34,Bronze medal
Christopher Tran,AUS,Australia,2022,7,7,0,7,6,0,27,187,68.37,Bronze medal
Tony Yuzheng Wu,AUS,Australia,2022,7,7,2,7,7,4,34,38,93.71,Gold medal
Grace Yuan,AUS,Australia,2022,2,7,0,7,2,0,18,343,41.84,Honourable mention
Andres David Buritica Monroy,AUS,Australia,2021,7,0,0,7,7,3,24,48,92.39,Gold medal
Jason Chi,AUS,Australia,2021,6,1,0,7,0,0,14,218,64.89,Bronze medal
Zian Shang,AUS,Australia,2021,7,0,1,7,7,0,22,63,89.97,Silver medal
Hadyn Ka Ming Tang,AUS,Australia,2021,7,0,1,7,7,7,29,24,96.28,Gold medal
Haibing Wang,AUS,Australia,2021,7,0,0,7,7,0,21,105,83.17,Silver medal
Ruiying Wu,AUS,Australia,2021,0,1,0,2,7,0,10,319,48.54,Honourable mention
Andres David Buritica Monroy,AUS,Australia,2020,7,7,0,7,7,1,29,59,90.57,Silver medal
Yasiru Randiya Jayasooriya,AUS,Australia,2020,7,7,0,7,7,0,28,86,86.18,Silver medal
Zian Shang,AUS,Australia,2020,7,2,0,7,1,0,17,262,57.56,Bronze medal
William George Steinberg,AUS,Australia,2020,7,2,7,7,7,1,31,43,93.17,Gold medal
Hadyn Ka Ming Tang,AUS,Australia,2020,7,7,7,7,1,1,30,50,92.03,Silver medal
Fredy Yip,AUS,Australia,2020,7,7,2,7,7,3,33,22,96.59,Gold medal
James Bang,AUS,Australia,2019,7,7,0,6,7,0,27,101,83.87,Silver medal
Andres David Buritica Monroy,AUS,Australia,2019,7,3,0,5,7,0,22,168,73.06,Bronze medal
Yasiru Jayasooriya,AUS,Australia,2019,7,2,0,5,3,0,17,275,55.81,Bronze medal
Preet Patel,AUS,Australia,2019,7,6,1,7,2,0,23,147,76.45,Bronze medal
William George Steinberg,AUS,Australia,2019,7,7,5,7,7,1,34,28,95.65,Gold medal
Hadyn Ka Ming Tang,AUS,Australia,2019,7,3,7,7,7,0,31,48,92.42,Gold medal
William Hu,AUS,Australia,2018,7,7,0,7,1,1,23,157,73.69,Bronze medal
Charles Dacheng Li,AUS,Australia,2018,7,7,2,7,2,1,26,122,79.6,Silver medal
William George Steinberg,AUS,Australia,2018,7,7,0,7,7,1,29,61,89.88,Silver medal
Ethan Yong-Ern Tan,AUS,Australia,2018,7,3,7,7,7,0,31,34,94.44,Gold medal
Hadyn Ka Ming Tang,AUS,Australia,2018,7,3,0,7,7,1,25,131,78.08,Silver medal
Guowen Zhang,AUS,Australia,2018,7,7,4,7,7,3,35,12,98.15,Gold medal
James Bang,AUS,Australia,2017,7,3,0,7,0,0,17,188,69.54,Bronze medal
Matthew Cheah,AUS,Australia,2017,7,1,0,7,7,0,22,72,88.44,Silver medal
Linus Cooper,AUS,Australia,2017,7,2,7,1,2,0,19,115,81.43,Silver medal
William Hu,AUS,Australia,2017,7,0,0,7,2,0,16,265,57.0,Bronze medal
Hadyn Ka Ming Tang,AUS,Australia,2017,7,0,1,2,0,0,10,457,25.73,Honourable mention
Guowen Zhang,AUS,Australia,2017,7,4,0,7,0,1,19,115,81.43,Silver medal
Michelle Chen,AUS,Australia,2016,7,2,0,7,0,0,16,253,58.07,Bronze medal
Ilia Kucherov,AUS,Australia,2016,7,7,0,7,0,0,21,146,75.87,Bronze medal
Jongmin Lim,AUS,Australia,2016,7,1,2,7,4,2,23,114,81.2,Silver medal
Seyoon Ragavan,AUS,Australia,2016,7,7,0,7,0,0,21,146,75.87,Bronze medal
Kevin Xian,AUS,Australia,2016,7,6,0,7,3,0,23,114,81.2,Silver medal
Wilson Zhao,AUS,Australia,2016,7,0,0,7,3,3,20,169,72.05,Bronze medal
Alexander Gunning,AUS,Australia,2015,7,6,7,7,2,7,36,4,99.48,Gold medal
Ilia Kucherov,AUS,Australia,2015,7,2,0,7,3,0,19,118,79.69,Silver medal
Seyoon Ragavan,AUS,Australia,2015,7,7,1,7,7,0,29,19,96.88,Gold medal
Yang Song,AUS,Australia,2015,7,2,1,7,3,0,20,101,82.64,Silver medal
Kevin Xian,AUS,Australia,2015,7,3,1,7,3,0,21,88,84.9,Silver medal
Jeremy Yip,AUS,Australia,2015,7,6,1,7,2,0,23,58,90.1,Silver medal
Alexander Gunning,AUS,Australia,2014,7,7,7,7,7,7,42,1,100.0,Gold medal
Seyoon Ragavan,AUS,Australia,2014,7,2,0,7,1,0,17,256,54.38,Bronze medal
Mel Shu,AUS,Australia,2014,7,7,0,7,2,0,23,109,80.68,Silver medal
Yang Song,AUS,Australia,2014,7,3,0,7,3,0,20,200,64.4,Bronze medal
Praveen Wijerathna,AUS,Australia,2014,7,7,0,7,7,0,28,50,91.23,Silver medal
Damon Zhong,AUS,Australia,2014,7,5,0,7,7,0,26,83,85.33,Silver medal
Alexander Chua,AUS,Australia,2013,7,3,0,7,1,0,18,196,62.93,Bronze medal
Alexander Gunning,AUS,Australia,2013,7,7,2,7,7,7,37,8,98.67,Gold medal
Jason Kwong,AUS,Australia,2013,7,7,0,7,7,0,28,61,88.59,Silver medal
Seyoon Ragavan,AUS,Australia,2013,7,7,0,7,1,0,22,151,71.48,Bronze medal
Rachel Wong,AUS,Australia,2013,7,1,0,7,3,0,18,196,62.93,Bronze medal
Jonathan Zheng,AUS,Australia,2013,7,3,1,7,7,0,25,117,77.95,Silver medal
Kaimyn Chapman,AUS,Australia,2012,7,7,0,7,3,0,24,72,87.0,Silver medal
Nancy Fu,AUS,Australia,2012,7,1,0,4,4,0,16,204,62.82,Bronze medal
Alexander Gunning,AUS,Australia,2012,7,0,1,7,0,1,16,204,62.82,Bronze medal
Jason Kwong,AUS,Australia,2012,7,1,0,7,0,0,15,229,58.24,Bronze medal
John Papantoniou,AUS,Australia,2012,7,0,0,7,0,0,14,254,53.66,Bronze medal
Yanning Xu,AUS,Australia,2012,7,7,0,7,0,0,21,112,79.67,Silver medal
Nancy Fu,AUS,Australia,2011,7,0,0,7,2,0,16,253,55.16,Bronze medal
Declan Gorey,AUS,Australia,2011,7,1,0,7,7,0,22,113,80.07,Silver medal
Timothy Large,AUS,Australia,2011,7,1,0,7,7,0,22,113,80.07,Silver medal
Colin Lu,AUS,Australia,2011,3,0,0,6,7,1,17,222,60.68,Bronze medal
Yanning Xu,AUS,Australia,2011,7,1,0,7,7,0,22,113,80.07,Silver medal
Angel Yu,AUS,Australia,2011,7,1,1,6,2,0,17,222,60.68,Bronze medal
Aaron Wan Yau Chong,AUS,Australia,2010,7,7,1,7,7,0,29,18,96.74,Gold medal
Timothy Large,AUS,Australia,2010,7,1,0,7,0,0,15,226,56.81,Bronze medal
Stacey Wing Chee Law,AUS,Australia,2010,7,7,0,7,1,0,22,76,85.6,Silver medal
Kiho Park,AUS,Australia,2010,7,7,0,7,2,0,23,64,87.91,Silver medal
David Vasak,AUS,Australia,2010,6,0,0,7,1,0,14,266,49.14,Honourable mention
Sampson Wong,AUS,Australia,2010,7,7,1,7,0,3,25,53,90.02,Silver medal
Aaron Wan Yau Chong,AUS,Australia,2009,7,7,7,2,7,0,30,54,90.6,Silver medal
Andrew Elvey Price,AUS,Australia,2009,7,6,7,5,7,5,37,10,98.4,Gold medal
Stacey Wing Chee Law,AUS,Australia,2009,5,7,0,7,3,0,22,168,70.39,Bronze medal
Alfred Liang,AUS,Australia,2009,7,3,0,0,7,0,17,220,61.17,Bronze medal
Dana Ma,AUS,Australia,2009,7,4,0,0,0,0,11,314,44.5,Honourable mention
Sampson Wong,AUS,Australia,2009,7,7,7,7,6,0,34,27,95.39,Gold medal
Paul Cheung,AUS,Australia,2008,7,4,0,7,7,0,25,92,82.96,Silver medal
Andrew Elvey Price,AUS,Australia,2008,7,7,0,7,7,1,29,57,89.51,Silver medal
Giles Samuel Vernon Gardam,AUS,Australia,2008,7,4,0,7,7,0,25,92,82.96,Silver medal
Irene Yuan Lo,AUS,Australia,2008,7,1,0,7,7,0,22,127,76.4,Silver medal
Matthew Cedric Menzies,AUS,Australia,2008,7,5,4,1,7,0,24,107,80.15,Silver medal
Sampson Wong,AUS,Australia,2008,7,1,0,6,0,1,15,238,55.62,Bronze medal
Ildar Maratovich Gaisin,AUS,Australia,2007,4,1,0,7,7,0,19,133,74.57,Bronze medal
Giles Samuel Vernon Gardam,AUS,Australia,2007,7,1,2,7,1,1,19,133,74.57,Bronze medal
Sen Lin,AUS,Australia,2007,0,1,0,7,1,0,9,344,33.91,Honourable mention
Irene Yuan Lo,AUS,Australia,2007,3,7,0,7,1,0,18,145,72.25,Bronze medal
Matthew Cedric Menzies,AUS,Australia,2007,7,7,0,7,7,0,28,40,92.49,Silver medal
Anthony David Morris,AUS,Australia,2007,7,3,0,7,0,0,17,161,69.17,Bronze medal
Charles Li,AUS,Australia,2006,7,7,0,7,1,0,22,76,84.91,Silver medal
Vinoth Nandakumar,AUS,Australia,2006,7,1,1,7,2,0,18,132,73.64,Bronze medal
Matthew Ng,AUS,Australia,2006,7,1,0,1,0,0,9,364,26.96,Honourable mention
Vinh Pham,AUS,Australia,2006,7,1,0,7,0,0,15,189,62.17,Bronze medal
Konrad Pilch,AUS,Australia,2006,7,7,0,7,1,0,22,76,84.91,Silver medal
